STATE/UT,DISTRICT,TOTAL IPC CRIMES,CRIME_RATE
KARNATAKA,MYSORE COMMR.,31459,0.02124082500204245
KARNATAKA,MYSORE RURAL,39229,0.0264870569314067
KARNATAKA,RAICHUR,33624,0.02270261292058474
KARNATAKA,RAILWAYS,7587,0.005122672026780765
KARNATAKA,RAMANAGAR,21771,0.01469957726308739
KARNATAKA,SHIMOGA,55397,0.03740354056512113
KARNATAKA,TOTAL,1481063,1.0
KARNATAKA,TUMKUR,55937,0.03776814355635108
KARNATAKA,UDUPI,27894,0.018833770069200298
KARNATAKA,UTTAR KANNADA,30179,0.020376580874682575
KARNATAKA,YADGIRI,4620,0.0031193811471895523
KERALA,ALAPUZHA,94788,0.06594135902310953
KERALA,CBCID,1339,0.0009315048290072969
KERALA,ERNAKULAM,30516,0.021229127230759277
KERALA,ERNAKULAM COMMR.,104786,0.0728966878359661
KERALA,ERNAKULAM RURAL,122473,0.08520103877745383
KERALA,IDUKKI,62789,0.04368055019308377
KERALA,KANNUR,71381,0.049657764151881896
KERALA,KASARGOD,41110,0.028599076564966373
KERALA,KOLLAM,97571,0.06787741424277145
KERALA,KOLLAM COMMR.,13431,0.00934357084271621
KERALA,KOLLAM RURAL,12517,0.00870772662037665
KERALA,KOTTAYAM,97779,0.06802211402203472
KERALA,KOZHIKODE,17140,0.011923818348905952
KERALA,KOZHIKODE COMMR.,40216,0.027977145782940593
KERALA,KOZHIKODE RURAL,53302,0.037080709780244164
KERALA,MALAPPURAM,98239,0.06834212314925156
KERALA,PALAKKAD,80723,0.05615673212244662
KERALA,PATHANAMTHITTA,57475,0.03998374910171351
KERALA,RAILWAYS,3262,0.0022692821151768503
KERALA,THRISSUR,101593,0.07067540708987179
KERALA,THRISSUR COMMR.,11122,0.007737264158490781
KERALA,THRISSUR RURAL,24889,0.017314580798478425
KERALA,TOTAL,1437459,1.0
KERALA,TRIVANDRUM,24058,0.016736477353441036
KERALA,TRIVANDRUM COMMR.,57030,0.039674175054731996
KERALA,TRIVANDRUM RURAL,87612,0.06094921663852673
KERALA,WAYANADU,30318,0.021091384171652895
LAKSHADWEEP,LAKSHADWEEP,743,1.0
LAKSHADWEEP,TOTAL,743,1.0
MADHYA PRADESH,ALIRAJPUR,6449,0.0026717541439325206
